Frequency(Hz)	Absorption_Coefficient
50.0	0.006635
60.0	0.008673
70.0	0.011034
80.0	0.013733
90.0	0.016783
100.0	0.020200
110.0	0.024003
120.0	0.028210
130.0	0.032844
140.0	0.037930
150.0	0.043497
160.0	0.049578
170.0	0.056214
180.0	0.063451
190.0	0.071344
200.0	0.079960
210.0	0.089380
220.0	0.099702
230.0	0.111050
240.0	0.123580
250.0	0.137493
260.0	0.153050
270.0	0.170602
280.0	0.190622
290.0	0.213770
300.0	0.240981
310.0	0.273604
320.0	0.313605
330.0	0.363839
340.0	0.428232
350.0	0.511233
360.0	0.614317
370.0	0.725205
380.0	0.803923
390.0	0.804564
400.0	0.737953
410.0	0.659812
420.0	0.605342
430.0	0.580019
440.0	0.578530
450.0	0.594927
460.0	0.624790
470.0	0.664823
480.0	0.711928
490.0	0.762287
500.0	0.810732
510.0	0.850916
520.0	0.876830
530.0	0.885274
540.0	0.877561
550.0	0.858873
560.0	0.835830
570.0	0.814113
580.0	0.797293
590.0	0.786872
600.0	0.782917
610.0	0.784718
620.0	0.791252
630.0	0.801442
640.0	0.814270
650.0	0.828819
660.0	0.844282
670.0	0.859953
680.0	0.875219
690.0	0.889558
700.0	0.902535
710.0	0.913804
720.0	0.923111
730.0	0.930298
740.0	0.935301
750.0	0.938151
760.0	0.938962
770.0	0.937927
780.0	0.935298
790.0	0.931373
800.0	0.926478
810.0	0.920951
820.0	0.915124
830.0	0.909315
840.0	0.903813
850.0	0.898876
860.0	0.894720
870.0	0.891519
880.0	0.889404
890.0	0.888458
900.0	0.888717
910.0	0.890173
920.0	0.892773
930.0	0.896424
940.0	0.900997
950.0	0.906329
960.0	0.912234
970.0	0.918506
980.0	0.924927
990.0	0.931277
1000.0	0.937339
1010.0	0.942911
1020.0	0.947811
1030.0	0.951883
1040.0	0.955006
1050.0	0.957096
1060.0	0.958110
1070.0	0.958046
1080.0	0.956941
1090.0	0.954870
1100.0	0.951941
1110.0	0.948289
1120.0	0.944070
1130.0	0.939452
1140.0	0.934612
1150.0	0.929725
1160.0	0.924960
1170.0	0.920476
1180.0	0.916414
1190.0	0.912899
1200.0	0.910034
1210.0	0.907901
1220.0	0.906557
1230.0	0.906041
1240.0	0.906366
1250.0	0.907528
1260.0	0.909500
1270.0	0.912240
1280.0	0.915688
1290.0	0.919768
1300.0	0.924395
1310.0	0.929469
1320.0	0.934886
1330.0	0.940532
1340.0	0.946293
1350.0	0.952052
1360.0	0.957696
1370.0	0.963116
1380.0	0.968209
1390.0	0.972882
1400.0	0.977052
1410.0	0.980650
1420.0	0.983620
1430.0	0.985922
1440.0	0.987529
1450.0	0.988430
1460.0	0.988632
1470.0	0.988152
1480.0	0.987023
1490.0	0.985291
1500.0	0.983014
1510.0	0.980257
1520.0	0.977096
1530.0	0.973615
1540.0	0.969900
1550.0	0.966043
1560.0	0.962139
1570.0	0.958280
1580.0	0.954558
1590.0	0.951063
1600.0	0.947880
1610.0	0.945085
1620.0	0.942750
1630.0	0.940935
1640.0	0.939690
1650.0	0.939053
1660.0	0.939048
1670.0	0.939685
1680.0	0.940958
1690.0	0.942848
1700.0	0.945316
1710.0	0.948311
1720.0	0.951764
1730.0	0.955594
1740.0	0.959707
1750.0	0.963997
1760.0	0.968353
1770.0	0.972658
1780.0	0.976792
1790.0	0.980637
1800.0	0.984081
1810.0	0.987019
1820.0	0.989356
1830.0	0.991010
1840.0	0.991915
1850.0	0.992017
1860.0	0.991282
1870.0	0.989689
1880.0	0.987232
1890.0	0.983921
1900.0	0.979775
1910.0	0.974827
1920.0	0.969115
1930.0	0.962688
1940.0	0.955596
1950.0	0.947896
1960.0	0.939645
1970.0	0.930901
1980.0	0.921722
1990.0	0.912164
2000.0	0.902282
